sequence	stool-2DSS__10	stool-2DSS__11	stool-2DSS__12	stool-2DSS__13	stool-2DSS__14	stool-2DSS__16	stool-2DSS__18	stool-2DSS__19	stool-2DSS__1	stool-2DSS__21	stool-2DSS__23	stool-2DSS__24	stool-2DSS__25	stool-2DSS__27	stool-2DSS__28	stool-2DSS__2	stool-2DSS__30	stool-2DSS__3	stool-2DSS__5	stool-2DSS__6	stool-2DSS__7	stool-2DSS__8	stool-2DSS__9	stool-3DSS__11	stool-3DSS__16	stool-3DSS__21	stool-3DSS__22	stool-3DSS__23	stool-3DSS__24	stool-3DSS__26	stool-3DSS__27	stool-3DSS__29	stool-3DSS__2	stool-3DSS__30	stool-3DSS__7	stool-4DSS__16	stool-4DSS__1	stool-4DSS__23	stool-4DSS__24	stool-4DSS__6
ASV192:p__Firmicutes;c__Bacilli;o__NA;f__NA;g__NA;s__NA	0	0	34	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0
ASV193:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV194:p__Firmicutes;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	27	0	0	0	0	0	0	0	0	0	686	0	0	0	0	0	0	0	0	0	0	0	1732	0	0	36	446	0	0	256	0	0	1363	0	0	0	0	0
ASV195:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	25	0	0	0	0	0	0	0	0	0	0	0	391	0	432	0	0	0	0	0	0	210	0	182	124	21	0	135	0	0	161	0	0	0	180	0	0	0
ASV196:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	105	54	0	0	96	0	0	0	0	0	0	160	0	0	0
ASV197:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	23	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	853	0	0	0	0	0	0	0	0
ASV198:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	21	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	1780	0	0	0	646	0	0	90	0	0	1122	0	0	0	0	0
ASV199:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	20	0	0	0	0	0	0	0	0	0	0	0	22	0	39	0	0	0	0	0	0	45	0	62	15	3	0	34	0	7	9	0	0	0	36	0	0	0
ASV200:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__NA	0	0	19	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	368	3	0	233	901	0	0	657	0	0	1106	0	0	0	0	0
ASV201:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	18	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	9	0	0	118	86	0	0	17	0	0	58	0	0	0	0	0
ASV202:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__NA	0	0	17	0	0	0	0	0	0	0	0	0	224	0	645	0	244	0	0	0	0	0	0	113	795	165	24	835	182	67	0	346	166	0	399	0	339	0	0	0
ASV203:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	17	0	0	0	0	0	0	0	0	0	15	0	473	0	99	0	0	0	0	0	0	68	6	124	37	41	14	156	0	0	117	0	0	0	65	0	0	0
ASV204:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__NA	0	0	17	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV205:p__Firmicutes;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	16	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	209	0	0	36	185	0	0	46	0	0	296	0	0	0	0	0
ASV206:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	16	0	0	0	0	0	0	0	0	0	10	0	133	0	87	0	0	0	0	0	0	46	0	43	43	26	15	0	0	31	59	0	7	0	21	0	0	0
ASV207:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	15	0	0	0	0	0	0	0	0	0	19	0	0	0	38	0	0	0	0	0	0	30	26	85	0	11	0	0	0	0	9	0	31	0	82	0	0	0
ASV208:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	14	0	0	0	0	0	0	0	0	0	19	0	19	0	10	0	0	0	0	0	0	9	8	8	0	6	65	0	0	0	5	0	31	0	6	0	0	0
ASV209:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV210:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	12	0	0	0	0	0	0	0	0	0	9	0	15	0	30	0	0	0	0	0	0	15	128	30	0	34	58	10	0	25	13	0	107	0	64	0	0	0
ASV211:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	11	0	0	0	0	0	0	0	0	0	3	0	225	0	19	0	0	0	0	0	0	95	0	58	13	33	0	10	0	5	374	0	0	0	25	0	0	0
ASV212:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	10	0	0	0	0	0	0	0	0	0	10	0	5	0	8	0	0	0	0	0	0	2	16	0	11	0	14	4	0	20	6	0	20	0	5	0	0	0
ASV213:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	10	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	19	59	7	0	7	0	0	0	0	45	0	3	0	3	0	0	0
ASV214:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	9	0	0	0	0	0	0	0	0	0	20	0	85	0	102	0	0	0	0	0	0	255	15	584	509	16	0	513	0	0	0	0	0	0	607	0	0	0
ASV215:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV216:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	50	0	0	0	0	0	0	58	0	85	31	16	11	66	0	8	61	0	0	0	24	0	0	0
ASV217:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	7	0	0	0	0	0	0	0	0	0	0	0	71	0	41	0	0	0	0	0	0	69	0	22	0	0	0	0	0	0	46	0	0	0	9	0	0	0
ASV218:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	7	0	0	0	0	0	0	0	0	0	11	0	169	0	79	0	0	0	0	0	0	27	0	81	0	0	0	0	0	0	12	0	0	0	9	0	0	0
ASV219:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	7	0	0	0	0	0	0	0	0	0	0	0	64	0	45	0	0	0	0	0	0	46	0	38	46	0	0	33	0	0	14	0	0	0	38	0	0	0
ASV220:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	31	41	12	0	0	115	0	0	0	0	12	0	84	0	0	0
ASV221:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	6	0	0	0	0	0	0	0	0	0	6	0	39	0	22	0	0	0	0	0	0	183	0	112	45	26	0	36	0	4	66	0	0	0	72	0	0	0
ASV222:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV223:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	6	0	0	0	0	0	0	0	0	0	7	0	6	0	18	0	0	0	0	0	0	49	34	58	17	18	67	9	0	44	46	0	20	0	31	0	0	0
ASV224:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	6	0	0	0	0	0	0	0	0	0	3910	0	0	0	0	0	0	0	0	0	0	0	1691	0	0	792	3286	0	0	2802	0	0	4926	0	0	0	0	0
ASV225:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	5	0	0	0	0	0	0	0	0	0	17	0	97	0	19	0	0	0	0	0	0	149	9	56	10	0	5	0	0	0	191	0	5	0	23	0	0	0
ASV226:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__NA	0	0	5	0	0	0	0	0	0	0	0	0	0	0	24	0	53	0	0	0	0	0	0	0	967	0	0	0	455	9	0	112	0	0	909	0	43	0	0	0
ASV227:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV228:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	8	0	0	194	3	0	151	0	10	0	0	0
ASV229:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	2163	0	0	1897	0	0	0	0	8206	0	0	0	0	0	0	0	0	0	0	648	0	0	0	0	0	0	0	4512	0	0	0	0	0	0	0	0	0
ASV230:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV231:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV232:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__NA	0	0	0	121	229	76	113	0	0	0	41	352	0	0	0	97	0	0	0	0	0	33	66	0	0	0	0	0	0	0	321	0	0	487	0	0	0	67	0	0
ASV233:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea incertae sedis;s__NA	0	0	0	119	44	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV234:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	101	0	35	43	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV235:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	53	75	123	0	0	116	0	100	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV236:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__NA	0	0	0	49	221	85	131	0	0	0	0	293	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	484	0	0	0	0	0	0
ASV237:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiracea incertae sedis;s__NA	0	0	0	43	0	60	79	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
ASV238:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__NA	0	0	0	39	40	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV239:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	35	26	0	72	0	0	0	0	53	0	0	0	30	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
ASV240:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVb;s__NA	0	0	0	30	0	0	44	0	40	12	0	106	0	0	0	17	0	0	12	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
ASV241:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_oris(X94229)	0	0	0	26	0	0	241	0	0	0	0	392	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0
ASV242:p__Proteobacteria;c__NA;o__NA;f__NA;g__NA;s__NA	0	0	0	24	42	232	239	0	35	0	77	0	0	0	0	142	0	0	0	0	92	0	0	0	0	0	0	0	0	0	89	0	0	68	0	0	0	0	0	186
ASV243:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__NA	0	0	0	19	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV244:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__NA	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV245:p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum;s__Mucispirillum_schaedleri(AY387670)	0	0	0	11	63	6	8	0	0	100	8	17	0	0	0	0	0	194	14	11	0	32	99	0	0	0	0	0	0	0	32	0	0	224	0	196	0	69	41	0
ASV246:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV247:p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__NA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV248:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	2442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV249:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	1390	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV250:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV251:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	577	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV252:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	548	0	943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV253:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	506	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV254:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__NA;s__NA	0	0	0	0	506	0	0	0	0	0	25	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0
ASV255:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	489	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV256:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800
ASV257:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV258:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	349	185	346	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV259:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	309	220	0	0	255	0	0	0	0	0	0	102	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	187
ASV260:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas;s__NA	0	0	0	0	300	0	0	0	36	0	0	53	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	334	0	0	0	0	0	246
ASV261:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVb;s__NA	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV262:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas;s__NA	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV263:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV264:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter;s__NA	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0
ASV265:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	178	92	59	0	0	0	0	69	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0
ASV266:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0
ASV267:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__NA	0	0	0	0	164	212	140	0	0	0	31	151	0	0	0	338	0	68	0	0	51	0	0	0	0	0	0	0	0	0	125	0	0	75	0	59	0	0	40	0
ASV268:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV269:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__NA;s__NA	0	0	0	0	160	26	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV270:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV271:p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA;s__NA	0	0	0	0	146	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV272:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV273:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVb;s__NA	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV274:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	128	0	25	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV275:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__NA	0	0	0	0	112	0	34	65	0	0	0	0	0	0	0	57	0	77	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	84	0	24	0	0
ASV276:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	112	116	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV277:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor;s__NA	0	0	0	0	105	0	0	0	53	283	64	0	0	0	0	43	0	70	0	0	276	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV278:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	103	74	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0
ASV279:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__NA	0	0	0	0	95	0	69	0	0	10	0	123	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	178	0	0	466	0	0	0	0	0	173
ASV280:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	94	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV281:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	90	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0
ASV282:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium IV;s__NA	0	0	0	0	84	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0
ASV283:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	80	0	0	0	0	0	46	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV284:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__NA	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV285:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	76	0	51	0	0	0	0	267	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	162	160	71
ASV286:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__NA;s__NA	0	0	0	0	73	0	0	0	62	0	0	0	0	0	0	100	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
ASV287:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	72	36	0	0	0	0	51	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0
ASV288:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillibacter;s__NA	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0
ASV289:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	70	84	34	0	0	0	45	68	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV290:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	0	0	0	0	70	0	0	0	0	0	150	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0
ASV291:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__NA	0	0	0	0	69	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV292:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	67	379	1480	0	388	0	0	0	0	0	0	1838	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1375
ASV293:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVb;s__NA	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV294:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
